SamAccountName;GivenName;Surname;Name;Password
ghana.bassi;Ghana;Bassi;Ghana Bassi;Ghana1062
idi.amin;Idi Amin;Dada Oumee;Idi Amin Dada Oumee;Uganda79Cr4ckMeIfUc4n
thomas.sankara;Thomas;Sankara;Thomas Sankara;Burkina1987
nelson.mandela;Nelson;Mandela;Nelson Mandela;SouthAfrica13
haile.selassie;Haile;Selassie;Haile Selassie;Ethiopia21
mansa.musa;Mansa;Musa;Mansa Musa;Fluffy123!
jomo.kenyatta;Jomo;Kenyatta;Jomo Kenyatta;Kenya64
ellen.johnson;Ellen;Johnson-Sirleaf;Ellen Johnson-Sirleaf;Liberia18
kofi.annan;Kofi;Annan;Kofi Annan;Ghana08
shaka.zulu;Shaka;Zulu;Shaka Zulu;Africa1828
muammar.gaddafi;Muammar;Gaddafi;Muammar Gaddafi;Lybia2011
jeremiah.kofi;Jeremiah;Kofi;Jeremiah Kofi;Password123!
sql_svc;sql_svc;sql_svc;SQLSVCACCOUNT;Password123
queen.sheba;Queen;Sheba;Queen Sheba;Ethiopia1st
bill.gates;Bill;Gates;Bill Gates;Password123!
sql_svc;sql;service;Sql Service;FluffyWabbitThanzzzz
accounts.payable;Accounts;Payable; Accounts Payable;Password123!
