SamAccountName;GivenName;Surname;Name;Password
kwame.nkrumah;Kwame;Nkrumar;Kwame Nkrumah;OneAfrica1964
julius.nyerere;Julius;Nyerere;Julius Nyerere;Tanzania85
patrice.lumumba;Patrice;Lumumba;Patrice Lumumba;Congo1960
king.moshoeshoe;King;Moshoeshoe;King Moshoeshoe I;Basotho19
pharoah.hatshepsut;Pharoah;Hatshepsut;Pharoah Hatshepsut;Egypt1458
pharoah.ramses;Pharoah;Ramses;Pharoah Ramses II;Egypt1213
tin.hinan;Tin;Hinan;Tin Hinan;Hoggar4thAD
queen.cleopatra;Queen;Cleopatra;Queen Cleopatra;Egypt30BC
sunni.ali;Sunni;Ali;Sunni Ali Ber;Songhai1492
njinga.mbandi;Njinga;Mbandi;Njinga Mbandi;Ndongo1663AD
eze.nri;Eze;Nri;Eze Nri;Igbo19thAD
queen.amina;Queen;Amina;Queen Amina;Hausa1610AD
